date,week,year,month,season,Di.gazel
8/29/1991,93,2,22,win2,0
9/5/1991,94,2,23,win2,0
9/12/1991,95,2,23,win2,0
9/19/1991,96,2,23,win2,0
9/26/1991,97,2,23,spr3,0
10/3/1991,98,2,24,spr3,0
10/10/1991,99,2,24,spr3,0
10/17/1991,100,2,24,spr3,0
10/24/1991,101,2,24,spr3,0
10/31/1991,102,2,24,spr3,0
11/7/1991,103,2,25,spr3,0
11/14/1991,104,2,25,spr3,0
11/21/1991,105,3,25,spr3,0
11/28/1991,106,3,25,spr3,0
12/5/1991,107,3,26,spr3,0
12/12/1991,108,3,26,spr3,0
12/19/1991,109,3,26,spr3,0
12/26/1991,110,3,26,sum3,0
1/2/1992,111,3,27,sum3,0
1/9/1992,112,3,27,sum3,0
1/16/1992,113,3,27,sum3,0
1/23/1992,114,3,27,sum3,0
1/30/1992,115,3,27,sum3,0
2/6/1992,116,3,28,sum3,0
2/13/1992,117,3,28,sum3,0
2/20/1992,118,3,28,sum3,0
2/27/1992,119,3,28,sum3,0
3/5/1992,120,3,29,sum3,0
3/12/1992,121,3,29,sum3,0
3/19/1992,122,3,29,sum3,0
3/26/1992,123,3,29,aut3,0
4/2/1992,124,3,30,aut3,0
4/9/1992,125,3,30,aut3,0
4/16/1992,126,3,30,aut3,0
4/23/1992,127,3,30,aut3,0
4/30/1992,128,3,30,aut3,0
5/7/1992,129,3,31,aut3,0
5/14/1992,130,3,31,aut3,0
5/21/1992,131,3,31,aut3,0
5/28/1992,132,3,31,aut3,0
6/4/1992,133,3,32,aut3,0
6/11/1992,134,3,32,aut3,0
6/18/1992,135,3,32,aut3,0
6/25/1992,136,3,32,win3,0
7/2/1992,137,3,33,win3,0
7/9/1992,138,3,33,win3,0
7/16/1992,139,3,33,win3,0
7/23/1992,140,3,33,win3,0
7/30/1992,141,3,33,win3,0
8/6/1992,142,3,34,win3,0
8/13/1992,143,3,34,win3,0
8/20/1992,144,3,34,win3,0
8/27/1992,145,3,34,win3,0
9/3/1992,146,3,35,win3,0
9/10/1992,147,3,35,win3,0
9/17/1992,148,3,35,win3,0
9/24/1992,149,3,35,spr4,0
10/1/1992,150,3,36,spr4,0
10/8/1992,151,3,36,spr4,0
10/15/1992,152,3,36,spr4,0
10/22/1992,153,3,36,spr4,0
10/29/1992,154,3,36,spr4,0
11/5/1992,155,3,37,spr4,0
11/12/1992,156,3,37,spr4,0
11/19/1992,157,4,37,spr4,0
11/26/1992,158,4,37,spr4,0
12/6/1992,159,4,38,spr4,0
12/13/1992,160,4,38,spr4,0
12/20/1992,161,4,38,spr4,0
12/27/1992,162,4,38,sum4,0
1/3/1993,163,4,39,sum4,0
1/10/1993,164,4,39,sum4,0
1/17/1993,165,4,39,sum4,0
1/24/1993,166,4,39,sum4,0
1/31/1993,167,4,39,sum4,0
2/7/1993,168,4,40,sum4,0
2/14/1993,169,4,40,sum4,0
2/21/1993,170,4,40,sum4,0
2/28/1993,171,4,40,sum4,0
3/7/1993,172,4,41,sum4,0
3/14/1993,173,4,41,sum4,0
3/21/1993,174,4,41,aut4,0
3/28/1993,175,4,41,aut4,0
4/4/1993,176,4,42,aut4,0
4/11/1993,177,4,42,aut4,0
4/18/1993,178,4,42,aut4,0
4/25/1993,179,4,42,aut4,0
5/2/1993,180,4,43,aut4,0
5/9/1993,181,4,43,aut4,0
5/16/1993,182,4,43,aut4,0
5/23/1993,183,4,43,aut4,0
5/30/1993,184,4,43,aut4,0
6/6/1993,185,4,44,aut4,0
6/13/1993,186,4,44,aut4,0
6/20/1993,187,4,44,aut4,0
6/27/1993,188,4,44,win4,0
7/4/1993,189,4,45,win4,0
7/11/1993,190,4,45,win4,0
7/18/1993,191,4,45,win4,0
7/25/1993,192,4,45,win4,0
8/1/1993,193,4,46,win4,0
8/8/1993,194,4,46,win4,0
8/15/1993,195,4,46,win4,0
8/22/1993,196,4,46,win4,0
8/29/1993,197,4,46,win4,0
9/5/1993,198,4,47,win4,0
9/12/1993,199,4,47,win4,0
9/19/1993,200,4,47,win4,6
9/26/1993,201,4,47,spr5,7
10/3/1993,202,4,48,spr5,1
10/10/1993,203,4,48,spr5,8
10/17/1993,204,4,48,spr5,1
10/24/1993,205,4,48,spr5,19
10/31/1993,206,4,48,spr5,12
11/7/1993,207,4,49,spr5,6
11/14/1993,208,4,49,spr5,8
11/21/1993,209,5,49,spr5,24
11/28/1993,210,5,49,spr5,79
12/5/1993,211,5,50,spr5,0
12/12/1993,212,5,50,spr5,10
12/19/1993,213,5,50,spr5,11
12/25/1993,214,5,50,sum5,3
1/1/1994,215,5,51,sum5,333
1/8/1994,216,5,51,sum5,0
1/15/1994,217,5,51,sum5,45
1/22/1994,218,5,51,sum5,3319
1/29/1994,219,5,51,sum5,5388
2/5/1994,220,5,52,sum5,823
2/12/1994,221,5,52,sum5,2107
2/19/1994,222,5,52,sum5,7712
2/26/1994,223,5,52,sum5,1035
3/5/1994,224,5,53,sum5,1149
3/12/1994,225,5,53,sum5,1931
3/19/1994,226,5,53,sum5,384
3/26/1994,227,5,53,aut5,1010
4/2/1994,228,5,54,aut5,431
4/9/1994,229,5,54,aut5,8
4/16/1994,230,5,54,aut5,29
4/23/1994,231,5,54,aut5,416
4/30/1994,232,5,54,aut5,36
5/7/1994,233,5,55,aut5,25
5/14/1994,234,5,55,aut5,16
5/21/1994,235,5,55,aut5,5
5/28/1994,236,5,55,aut5,6
6/4/1994,237,5,56,aut5,9
6/11/1994,238,5,56,aut5,1
6/18/1994,239,5,56,aut5,10
6/25/1994,240,5,56,win5,23
7/2/1994,241,5,57,win5,12
7/9/1994,242,5,57,win5,0
7/16/1994,243,5,57,win5,1
7/23/1994,244,5,57,win5,16
7/30/1994,245,5,57,win5,2
8/6/1994,246,5,58,win5,19
8/13/1994,247,5,58,win5,1
8/20/1994,248,5,58,win5,1
8/25/1994,249,5,58,win5,0
9/1/1994,250,5,59,win5,0
9/8/1994,251,5,59,win5,2
9/15/1994,252,5,59,win5,1
9/22/1994,253,5,59,spr6,47
9/29/1994,254,5,59,spr6,110
10/6/1994,255,5,60,spr6,3622
10/13/1994,256,5,60,spr6,698
10/20/1994,257,5,60,spr6,1233
10/27/1994,258,5,60,spr6,8040
11/3/1994,259,5,61,spr6,3464
11/10/1994,260,5,61,spr6,600
11/17/1994,261,5,61,spr6,2602
11/24/1994,262,6,61,spr6,0
12/1/1994,263,6,62,spr6,6187
12/8/1994,264,6,62,spr6,5808
12/15/1994,265,6,62,spr6,3043
12/22/1994,266,6,62,sum6,932
12/29/1994,267,6,62,sum6,2402
1/5/1995,268,6,63,sum6,4492
1/12/1995,269,6,63,sum6,7768
1/19/1995,270,6,63,sum6,923
1/26/1995,271,6,63,sum6,3047
2/2/1995,272,6,64,sum6,4472
2/9/1995,273,6,64,sum6,4914
2/16/1995,274,6,64,sum6,12675
2/23/1995,275,6,64,sum6,3185
3/3/1995,276,6,65,sum6,3697
3/9/1995,277,6,65,sum6,2197
3/16/1995,278,6,65,sum6,4566
3/23/1995,279,6,65,aut6,12038
3/30/1995,280,6,65,aut6,3557
4/7/1995,281,6,66,aut6,717
4/13/1995,282,6,66,aut6,0
4/20/1995,283,6,66,aut6,678
4/27/1995,284,6,66,aut6,0
5/4/1995,285,6,67,aut6,576
5/11/1995,286,6,67,aut6,14
5/18/1995,287,6,67,aut6,72
5/25/1995,288,6,67,aut6,49
6/1/1995,289,6,68,aut6,143
6/8/1995,290,6,68,aut6,35
6/15/1995,291,6,68,aut6,47
6/22/1995,292,6,68,win6,75
6/29/1995,293,6,68,win6,96
7/6/1995,294,6,69,win6,32
7/13/1995,295,6,69,win6,67
7/20/1995,296,6,69,win6,33
7/27/1995,297,6,69,win6,14
8/3/1995,298,6,70,win6,36
8/10/1995,299,6,70,win6,30
8/17/1995,300,6,70,win6,13
8/24/1995,301,6,70,win6,22
8/31/1995,302,6,70,win6,15
9/7/1995,303,6,71,win6,12
9/14/1995,304,6,71,win6,7
9/21/1995,305,6,71,spr7,3
9/28/1995,306,6,71,spr7,23372
10/5/1995,307,6,72,spr7,35428
10/12/1995,308,6,72,spr7,13646
10/19/1995,309,6,72,spr7,1008
10/26/1995,310,6,72,spr7,2307
11/2/1995,311,6,73,spr7,7687
11/9/1995,312,6,73,spr7,712
11/16/1995,313,6,73,spr7,4072
11/23/1995,314,7,73,sum7,2756
11/30/1995,315,7,73,sum7,1202
12/7/1995,316,7,74,sum7,4191
12/14/1995,317,7,74,sum7,1073
12/22/1995,318,7,74,sum7,1364
12/29/1995,319,7,74,sum7,3237
1/4/1996,320,7,75,sum7,4154
1/11/1996,321,7,75,sum7,5581
1/18/1996,322,7,75,sum7,2794
1/25/1996,323,7,75,sum7,3058
2/1/1996,324,7,76,sum7,16706
2/8/1996,325,7,76,sum7,19337
2/15/1996,326,7,76,sum7,0
2/22/1996,327,7,76,sum7,0
2/29/1996,328,7,76,sum7,0
3/8/1996,329,7,77,sum7,0
3/14/1996,330,7,77,sum7,0
3/21/1996,331,7,77,aut7,0
3/28/1996,332,7,77,aut7,0
4/5/1996,333,7,78,aut7,0
4/11/1996,334,7,78,aut7,0
4/18/1996,335,7,78,aut7,0
4/25/1996,336,7,78,aut7,0
5/3/1996,337,7,79,aut7,0
5/16/1996,338,7,79,aut7,0
5/23/1996,339,7,79,aut7,0
5/30/1996,340,7,79,aut7,0
6/6/1996,341,7,80,aut7,0
6/13/1996,342,7,80,aut7,0
6/20/1996,343,7,80,aut7,0
6/27/1996,344,7,80,win7,0
7/4/1996,345,7,81,win7,0
7/11/1996,346,7,81,win7,0
7/18/1996,347,7,81,win7,0
7/25/1996,348,7,81,win7,0
8/2/1996,349,7,82,win7,0
8/9/1996,350,7,82,win7,37
8/16/1996,351,7,82,win7,16
8/22/1996,352,7,82,win7,5
8/29/1996,353,7,82,win7,0
9/4/1996,354,7,83,win7,0
9/13/1996,355,7,83,win7,30
9/20/1996,356,7,83,win7,1339
9/27/1996,357,7,83,spr8,1793
10/3/1996,358,7,84,spr8,626
10/10/1996,359,7,84,spr8,531
10/17/1996,360,7,84,spr8,275
10/24/1996,361,7,84,spr8,6850
10/31/1996,362,7,84,spr8,4619
11/8/1996,363,7,85,spr8,1426
11/14/1996,364,7,85,spr8,558
11/21/1996,365,8,85,spr8,157
11/28/1996,366,8,85,spr8,778
12/5/1996,367,8,86,spr8,1405
12/12/1996,368,8,86,spr8,1297
12/18/1996,369,8,86,spr8,1208
12/26/1996,370,8,86,sum8,367
1/2/1997,371,8,87,sum8,678
1/9/1997,372,8,87,sum8,3569
1/16/1997,373,8,87,sum8,830
1/23/1997,374,8,87,sum8,1053
1/30/1997,375,8,87,sum8,1526
2/13/1997,376,8,88,sum8,1514
2/20/1997,377,8,88,sum8,3771
2/27/1997,378,8,88,sum8,1548
3/6/1997,379,8,89,sum8,1649
3/12/1997,380,8,89,sum8,1415
3/20/1997,381,8,89,sum8,4180
3/27/1997,382,8,89,aut8,753
4/3/1997,383,8,90,aut8,605
4/10/1997,384,8,90,aut8,230
4/17/1997,385,8,90,aut8,43
4/24/1997,386,8,90,aut8,0
5/1/1997,387,8,91,aut8,0
5/8/1997,388,8,91,aut8,0
5/14/1997,389,8,91,aut8,46
5/23/1997,390,8,91,aut8,202
6/5/1997,391,8,92,aut8,109
6/12/1997,392,8,92,aut8,0
6/19/1997,393,8,92,aut8,68
6/26/1997,394,8,92,win8,25
7/3/1997,395,8,93,win8,43
7/10/1997,396,8,93,win8,0
7/18/1997,397,8,93,win8,18
7/25/1997,398,8,93,win8,4
8/1/1997,399,8,93,win8,8
8/8/1997,400,8,94,win8,16
8/15/1997,401,8,94,win8,0
8/22/1997,402,8,94,win8,0
8/29/1997,403,8,94,win8,9
9/4/1997,404,8,95,win8,9
9/11/1997,405,8,95,win8,13
9/19/1997,406,8,95,win8,56
9/25/1997,407,8,95,spr9,0
10/2/1997,408,8,96,spr9,206
10/9/1997,409,8,96,spr9,3476
10/16/1997,410,8,96,spr9,0
10/23/1997,411,8,96,spr9,2150
10/30/1997,412,8,96,spr9,832
11/6/1997,413,8,97,spr9,96
11/13/1997,414,8,97,spr9,57
11/20/1997,415,9,97,spr9,2137
11/27/1997,416,9,97,spr9,734
12/3/1997,417,9,98,spr9,1978
12/11/1997,418,9,98,spr9,468
12/18/1997,419,9,98,spr9,129
12/24/1997,420,9,98,sum9,101
12/31/1997,421,9,98,sum9,91
1/8/1998,422,9,99,sum9,1405
1/15/1998,423,9,99,sum9,2136
1/22/1998,424,9,99,sum9,580
1/29/1998,425,9,99,sum9,0
2/6/1998,426,9,100,sum9,4844
2/12/1998,427,9,100,sum9,7423
2/19/1998,428,9,100,sum9,3820
2/26/1998,429,9,100,sum9,6502
3/6/1998,430,9,101,sum9,2843
3/13/1998,431,9,101,sum9,4798
3/19/1998,432,9,101,sum9,1511
3/26/1998,433,9,101,aut9,678
4/2/1998,434,9,102,aut9,1461
4/9/1998,435,9,102,aut9,1954
4/16/1998,436,9,102,aut9,479
4/23/1998,437,9,102,aut9,0
4/30/1998,438,9,102,aut9,4
5/7/1998,439,9,103,aut9,8
5/14/1998,440,9,103,aut9,22
5/21/1998,441,9,103,aut9,18
5/28/1998,442,9,103,aut9,0
6/4/1998,443,9,104,aut9,0
6/11/1998,444,9,104,aut9,0
6/18/1998,445,9,104,aut9,12
6/25/1998,446,9,104,win9,17
7/2/1998,447,9,105,win9,8
7/9/1998,448,9,105,win9,1
7/16/1998,449,9,105,win9,17
7/23/1998,450,9,105,win9,7
7/30/1998,451,9,105,win9,25
8/6/1998,452,9,106,win9,1
8/13/1998,453,9,106,win9,13
8/20/1998,454,9,106,win9,609
8/27/1998,455,9,106,win9,34
9/3/1998,456,9,107,win9,44
9/10/1998,457,9,107,win9,53
9/17/1998,458,9,107,win9,40
9/24/1998,459,9,107,spr10,42
10/1/1998,460,9,108,spr10,726
10/8/1998,461,9,108,spr10,406
10/16/1998,462,9,108,spr10,833
10/22/1998,463,9,108,spr10,153
10/29/1998,464,9,108,spr10,0
11/5/1998,465,9,109,spr10,181
11/12/1998,466,9,109,spr10,243
11/19/1998,467,9,109,spr10,314
11/26/1998,468,10,109,spr10,228
12/3/1998,469,10,110,spr10,77
12/10/1998,470,10,110,spr10,829
12/17/1998,471,10,110,spr10,864
12/24/1998,472,10,110,sum10,18
12/31/1998,473,10,110,sum10,786
1/4/1999,474,10,111,sum10,409
1/7/1999,475,10,111,sum10,193
1/14/1999,476,10,111,sum10,125
1/20/1999,477,10,111,sum10,793
1/21/1999,478,10,112,sum10,941
1/28/1999,479,10,112,sum10,112
2/7/1999,480,10,112,sum10,340
2/14/1999,481,10,112,sum10,334
2/25/1999,482,10,112,sum10,111
3/4/1999,483,10,113,sum10,108
3/11/1999,484,10,113,sum10,152
3/18/1999,485,10,113,sum10,158
3/25/1999,486,10,113,aut10,227
4/1/1999,487,10,114,aut10,98
4/8/1999,488,10,114,aut10,103
4/15/1999,489,10,114,aut10,197
4/23/1999,490,10,114,aut10,717
4/28/1999,491,10,114,aut10,720
4/29/1999,492,10,114,aut10,236
5/6/1999,493,10,115,aut10,224
5/13/1999,494,10,115,aut10,248
5/20/1999,495,10,115,aut10,39
5/27/1999,496,10,115,aut10,21
6/2/1999,497,10,116,aut10,0
6/10/1999,498,10,116,aut10,3
6/17/1999,499,10,116,aut10,9
6/24/1999,500,10,116,win10,13
7/1/1999,501,10,117,win10,19
7/8/1999,502,10,117,win10,0
7/15/1999,503,10,117,win10,8
7/22/1999,504,10,117,win10,7
7/29/1999,505,10,117,win10,18
8/5/1999,506,10,118,win10,1
8/12/1999,507,10,118,win10,0
8/19/1999,508,10,118,win10,1
8/26/1999,509,10,118,win10,4
9/2/1999,510,10,119,win10,3
9/9/1999,511,10,119,win10,11
9/16/1999,512,10,119,win10,602
9/23/1999,513,10,119,spr11,475
9/30/1999,514,10,119,spr11,921
10/7/1999,515,10,120,spr11,198
10/14/1999,516,10,120,spr11,679
10/21/1999,517,10,120,spr11,1099
10/28/1999,518,10,120,spr11,59
11/4/1999,519,10,121,spr11,0
11/11/1999,520,10,121,spr11,367
11/18/1999,521,10,121,spr11,506
11/25/1999,522,11,121,spr11,24
12/2/1999,523,11,122,spr11,70
12/9/1999,524,11,122,spr11,791
12/16/1999,525,11,122,spr11,1569
12/23/1999,526,11,122,sum11,19
12/30/1999,527,11,122,sum11,0
1/6/2000,528,11,123,sum11,29
1/13/2000,529,11,123,sum11,335
1/20/2000,530,11,123,sum11,169
1/27/2000,531,11,123,sum11,276
2/3/2000,532,11,124,sum11,1013
2/10/2000,533,11,124,sum11,644
2/17/2000,534,11,124,sum11,2238
2/24/2000,535,11,124,sum11,394
3/2/2000,536,11,125,sum11,0
3/9/2000,537,11,125,sum11,725
3/16/2000,538,11,125,sum11,1685
3/23/2000,539,11,125,aut11,1404
3/30/2000,540,11,125,aut11,0
4/6/2000,541,11,126,aut11,330
4/13/2000,542,11,126,aut11,539
4/20/2000,543,11,126,aut11,550
4/27/2000,544,11,126,aut11,142
5/4/2000,545,11,127,aut11,24
5/11/2000,546,11,127,aut11,888
5/18/2000,547,11,127,aut11,53
5/25/2000,548,11,127,aut11,24
6/1/2000,549,11,128,aut11,16
6/8/2000,550,11,128,aut11,8
6/15/2000,551,11,128,aut11,8
6/22/2000,552,11,128,win11,0
6/29/2000,553,11,128,win11,10
7/6/2000,554,11,129,win11,7
7/13/2000,555,11,129,win11,0
7/20/2000,556,11,129,win11,0
7/27/2000,557,11,129,win11,7
8/3/2000,558,11,130,win11,13
8/10/2000,559,11,130,win11,10
8/17/2000,560,11,130,win11,8
8/24/2000,561,11,130,win11,164
8/30/2000,562,11,130,win11,99
9/7/2000,563,11,131,win11,544
9/14/2000,564,11,131,win11,17
9/21/2000,565,11,131,win11,20
9/28/2000,566,11,131,spr12,7
10/5/2000,567,11,132,spr12,55
10/12/2000,568,11,132,spr12,62
10/19/2000,569,11,132,spr12,71
10/26/2000,570,11,132,spr12,183
11/2/2000,571,11,133,spr12,242
11/9/2000,572,11,133,spr12,319
11/16/2000,573,11,133,spr12,897
11/23/2000,574,12,133,spr12,1018
11/30/2000,575,12,133,spr12,169
12/7/2000,576,12,134,spr12,291
12/14/2000,577,12,134,spr12,1141
12/21/2000,578,12,134,spr12,2049
12/28/2000,579,12,134,sum12,0
1/4/2001,580,12,135,sum12,16
1/11/2001,581,12,135,sum12,37
1/18/2001,582,12,135,sum12,32
1/25/2001,583,12,135,sum12,131
2/1/2001,584,12,136,sum12,254
2/8/2001,585,12,136,sum12,162
2/15/2001,586,12,136,sum12,34
2/22/2001,587,12,136,sum12,71
3/1/2001,588,12,137,sum12,1386
3/8/2001,589,12,137,sum12,79
3/15/2001,590,12,137,sum12,355
3/22/2001,591,12,137,aut12,279
3/29/2001,592,12,137,aut12,34
4/5/2001,593,12,138,aut12,0
4/12/2001,594,12,138,aut12,70
4/19/2001,595,12,138,aut12,168
4/26/2001,596,12,138,aut12,142
5/3/2001,597,12,139,aut12,50
5/10/2001,598,12,139,aut12,36
5/17/2001,599,12,139,aut12,4
5/24/2001,600,12,139,aut12,32
5/31/2001,601,12,139,aut12,33
6/7/2001,602,12,140,aut12,10
6/14/2001,603,12,140,aut12,43
6/21/2001,604,12,140,aut12,11
6/28/2001,605,12,140,win12,16
7/5/2001,606,12,141,win12,13
7/12/2001,607,12,141,win12,62
7/19/2001,608,12,141,win12,18
7/26/2001,609,12,141,win12,7
8/2/2001,610,12,142,win12,19
8/9/2001,611,12,142,win12,3
8/16/2001,612,12,142,win12,2
8/23/2001,613,12,142,win12,0
8/30/2001,614,12,142,win12,38
9/5/2001,615,12,143,win12,193
9/13/2001,616,12,143,win12,1
9/20/2001,617,12,143,win12,39
9/27/2001,618,12,143,spr13,60
10/4/2001,619,12,144,spr13,86
10/11/2001,620,12,144,spr13,0
10/18/2001,621,12,144,spr13,1
10/25/2001,622,12,144,spr13,73
11/1/2001,623,12,145,spr13,0
11/8/2001,624,12,145,spr13,451
11/15/2001,625,12,145,spr13,10
11/22/2001,626,13,145,spr13,131
11/29/2001,627,13,145,spr13,100
12/6/2001,628,13,146,spr13,0
12/13/2001,629,13,146,spr13,285
12/20/2001,630,13,146,spr13,134
12/27/2001,631,13,146,sum13,133
1/3/2002,632,13,147,sum13,0
1/10/2002,633,13,147,sum13,31
1/17/2002,634,13,147,sum13,250
1/24/2002,635,13,147,sum13,124
1/31/2002,636,13,147,sum13,505
2/7/2002,637,13,148,sum13,570
2/14/2002,638,13,148,sum13,279
2/21/2002,639,13,148,sum13,81
2/28/2002,640,13,148,sum13,67
3/7/2002,641,13,149,sum13,38
3/14/2002,642,13,149,sum13,13
3/21/2002,643,13,149,sum13,98
3/28/2002,644,13,149,aut13,185
4/4/2002,645,13,150,aut13,104
4/11/2002,646,13,150,aut13,67
4/18/2002,647,13,150,aut13,67
4/25/2002,648,13,150,aut13,129
5/2/2002,649,13,151,aut13,66
5/9/2002,650,13,151,aut13,15
5/16/2002,651,13,151,aut13,1
5/23/2002,652,13,151,aut13,0
5/30/2002,653,13,151,aut13,0
6/6/2002,654,13,152,aut13,0
6/13/2002,655,13,152,aut13,1
6/20/2002,656,13,152,aut13,2
6/27/2002,657,13,152,win13,2
7/4/2002,658,13,153,win13,0
7/11/2002,659,13,153,win13,0
7/14/2002,660,13,153,win13,0
7/25/2002,661,13,153,win13,10
8/1/2002,662,13,154,win13,0
8/8/2002,663,13,154,win13,0
8/15/2002,664,13,154,win13,0
8/22/2002,665,13,154,win13,0
8/29/2002,666,13,154,win13,3
9/5/2002,667,13,155,win13,0
9/12/2002,668,13,155,win13,0
9/19/2002,669,13,155,win13,102
9/26/2002,670,13,155,spr14,1
10/3/2002,671,13,156,spr14,36
10/10/2002,672,13,156,spr14,65
10/17/2002,673,13,156,spr14,35
10/24/2002,674,13,156,spr14,0
10/31/2002,675,13,156,spr14,438
11/7/2002,676,13,157,spr14,344
11/14/2002,677,13,157,spr14,58
11/21/2002,678,14,157,spr14,99
11/28/2002,679,14,157,spr14,2
12/5/2002,680,14,158,spr14,0
12/12/2002,681,14,158,spr14,209
12/19/2002,682,14,158,spr14,15
12/26/2002,683,14,158,sum14,112
1/3/2003,684,14,159,sum14,77
1/9/2003,685,14,159,sum14,259
1/16/2003,686,14,159,sum14,0
1/23/2003,687,14,159,sum14,582
1/30/2003,688,14,159,sum14,391
2/6/2003,689,14,160,sum14,3
2/13/2003,690,14,160,sum14,94
2/20/2003,691,14,160,sum14,0
2/27/2003,692,14,160,sum14,511
3/6/2003,693,14,161,sum14,0
3/13/2003,694,14,161,sum14,240
3/20/2003,695,14,161,sum14,826
3/27/2003,696,14,161,aut14,13
4/3/2003,697,14,162,aut14,585
4/10/2003,698,14,162,aut14,10
4/17/2003,699,14,162,aut14,13
4/24/2003,700,14,162,aut14,22
5/1/2003,701,14,163,aut14,0
5/8/2003,702,14,163,aut14,0
5/15/2003,703,14,163,aut14,0
5/22/2003,704,14,163,aut14,0
5/29/2003,705,14,163,aut14,5
6/5/2003,706,14,164,aut14,0
6/12/2003,707,14,164,aut14,1
6/19/2003,708,14,164,aut14,0
6/26/2003,709,14,164,win14,0
7/3/2003,710,14,165,win14,0
7/10/2003,711,14,165,win14,1
7/17/2003,712,14,165,win14,0
7/24/2003,713,14,165,win14,4
7/31/2003,714,14,165,win14,0
8/7/2003,715,14,166,win14,3
8/14/2003,716,14,166,win14,0
8/21/2003,717,14,166,win14,1
8/29/2003,718,14,166,win14,0
9/4/2003,719,14,167,win14,0
9/11/2003,720,14,167,win14,0
9/18/2003,721,14,167,win14,0
9/26/2003,722,14,167,spr15,0
10/2/2003,723,14,168,spr15,0
10/9/2003,724,14,168,spr15,3
10/16/2003,725,14,168,spr15,3279
10/23/2003,726,14,168,spr15,15
10/30/2003,727,14,168,spr15,9
11/6/2003,728,14,169,spr15,7
11/13/2003,729,14,169,spr15,7
11/20/2003,730,15,169,spr15,18
11/27/2003,731,15,169,spr15,9
12/4/2003,732,15,170,spr15,26
12/11/2003,733,15,170,spr15,6
12/18/2003,734,15,170,spr15,1
12/26/2003,735,15,170,sum15,0
1/1/2004,736,15,171,sum15,4
1/8/2004,737,15,171,sum15,3
1/15/2004,738,15,171,sum15,0
1/22/2004,739,15,171,sum15,1
